float,int
POWER1模块母线电流遥测,68W热控支路3通断状态
+Y太阳阵电流遥测2(POWER1模块),-Y板加热器1通断状态
POWER2模块母线电流遥测,+Y太阳翼6号压紧点主份拉断器通断状态
+Y太阳阵电流遥测3(POWER2模块),-Y太阳翼2号压紧点主份拉断器通断状态
POWER3模块母线电流遥测,-Y太阳翼5号压紧点主份拉断器通断状态
-Y太阳阵电流遥测3(POWER2模块),+Y板加热器3通断状态
CDM1模块母线电流遥测,+Y板加热器2通断状态
-Y太阳阵电流遥测1(POWER3模块),68W热控支路7通断状态
CDM2模块母线电流遥测,蓄电池加热器2通断状态
-Y太阳阵电流遥测2(POWER3模块),68W热控支路4通断状态
BCI模块母线电流遥测,S3R22保护状态
+Y太阳阵电流遥测1(POWER1模块),S319保护状态
+X隔板温度,S3R16保护状态
-Y板温度1,S313保护状态
-Y板温度2,S3R10保护状态
-Y板温度3,S3R7保护状态
锂离子蓄电池A模块1温度,S3R4保护状态
-Y太阳翼外板温度,S3R1保护状态
-Y太阳翼中板温度,SATM(-Y)备份加热器通断状态
-Y太阳翼内板温度,安全开关J通断状态
太阳翼SMA拉断器（-Y）1温度,安全开关I通断状态
太阳翼SMA拉断器（-Y）2温度,-Y太阳翼3号压紧点备份拉断器通断状态
太阳翼SMA拉断器（-Y）3温度,安全开关G通断状态
太阳翼SMA拉断器（-Y）4温度,-Y太阳翼4号压紧点备份拉断器通断状态
锂离子蓄电池A模块2温度,安全开关F通断状态
太阳翼SMA拉断器（-Y）5温度,+Y太阳翼3号压紧点备份拉断器通断状态
太阳翼SMA拉断器（-Y）6温度,+Y太阳翼2号压紧点备份拉断器通断状态
锂离子蓄电池B模块1温度,+Y太阳翼5号压紧点备份拉断器通断状态
BCI模块温度遥测,-Y太阳翼6号压紧点备份拉断器通断状态
POWER1模块温度遥测,安全开关H通断状态
POWER2模块温度遥测,-Y太阳翼1号压紧点备份拉断器通断状态
CDM1模块温度遥测,+Y太阳翼4号压紧点备份拉断器通断状态
POWER3模块温度遥测,+Y太阳翼1号压紧点备份拉断器通断状态
CDM2模块温度遥测,68W热控支路10通断状态
锂离子蓄电池B模块2温度,u电池加热器3通断状态
锂离子蓄电池C模块1温度,+Y太阳翼6号压紧点备份拉断器通断状态
锂离子蓄电池C模块2温度,-Y太阳翼2号压紧点备份拉断器通断状态
电源调节与配电单元温度,-Y太阳翼5号压紧点备份拉断器通断状态
母线电压遥测,+Y板加热器4通断状态
TMTC备份+12V电压遥测,-Y板加热器5通断状态
TMTC备份+5V电压遥测,68W热控支路14通断状态
TMTC主份+12V电压遥测,-Y板加热器3通断状态
TMTC主份+5V电压遥测,+Y板加热器6通断状态
过充保护阈值回读,68W热控支路11通断状态
5V参考电压遥测,S3R24保护状态
BCM电压遥测,S3R21保护状态
蓄电池电压遥测,S3R18保护状态
充电电压挡位遥测,S3R15保护状态
第1路蓄电池远端电压采集,S3R12保护状态
第2路蓄电池远端电压采集,S3R9保护状态
充电电流挡位遥测,S3R6保护状态
,S3R3保护状态
